DeliveryPersonID,Name,PhoneNumber,CurrentLocation,Status
1,Indrans Kaur,07329640122,Jabalpur,busy
2,Farhan Mani,05246826114,Sonipat,busy
3,Tarini Chahal,03173551642,Amravati,available
4,Mehul Kata,08374248776,Lucknow,busy
5,Vaibhav Karnik,+914674180453,Sultan Pur Majra,busy
6,Yashvi Saraf,9689271491,Nashik,available
7,Manjari Ratta,+914925982026,Kolkata,busy
8,Farhan Raval,+919298632687,Srikakulam,available
9,Ehsaan Garde,1018465383,Visakhapatnam,available
10,Mahika Handa,+918214412827,Bidhannagar,available
11,Lagan Savant,5449018268,Jamshedpur,available
12,Jayesh Dhaliwal,08541788740,Jamalpur,busy
13,Hansh Balasubramanian,09847926230,Tiruppur,busy
14,Divyansh Ahluwalia,02234707876,Madanapalle,available
15,Ira Iyer,05639084279,Rampur,available
16,Kismat Kaul,+913267552512,Mango,busy
17,Romil Datta,0597293621,Hosur,busy
18,Krish Vasa,8061343409,Nagaon,available
19,Inaaya  Ganguly,02246743125,Tadepalligudem,busy
20,Tara Bhargava,01367008634,Jabalpur,available
21,Indrans Kalita,03977393875,Fatehpur,busy
22,Aradhya Kumer,7044962925,Mangalore,available
23,Aniruddh Karnik,04004560778,Bally,available
24,Yuvraj  Handa,05588520288,Kolkata,busy
25,Zaina Mallick,+910665422226,Haldia,available
26,Pranay Agarwal,00779507438,Tumkur,busy
27,Azad Sehgal,7474940612,Bhimavaram,busy
28,Drishya Dasgupta,05422326231,Kishanganj,busy
29,Jayant Kamdar,9177596699,Siliguri,busy
30,Gatik D’Alia,8563871596,Fatehpur,available
31,Lakshit Varghese,00701526991,Sultan Pur Majra,available
32,Arnav Dara,08950175366,Yamunanagar,available
33,Raghav Lata,4462183725,Bhubaneswar,busy
34,Nirvaan Sekhon,+918374758579,Raipur,available
35,Hansh Vasa,3737718079,Satara,available
36,Ivana Kalla,0848388609,Thiruvananthapuram,available
37,Baiju Chadha,+914416836188,Lucknow,available
38,Bhamini Chacko,06174961166,Machilipatnam,busy
39,Vihaan Chauhan,08995466574,Junagadh,busy
40,Indrans Khare,+911717110562,Fatehpur,available
41,Damini Talwar,08884612114,Pallavaram,available
42,Jivika Yohannan,7211099621,Tezpur,available
43,Lakshay Rastogi,07070815459,Mirzapur,busy
44,Pari Lanka,+918927658914,Miryalaguda,busy
45,Lagan Mahal,+918181866959,Nadiad,busy
46,Adira Sarin,07905513381,Purnia,busy
47,Gatik Thakkar,+915672761457,Anantapur,busy
48,Mehul Raval,+915879877261,Mangalore,available
49,Siya Hari,+917008770946,Khora ,available
50,Devansh Chatterjee,06146478602,Siliguri,busy
